,lattitude,longitude,city,country,max_temperature,humidity,wind_speed,cloud_percentage
299,22.13299640512866,79.88578338982427,barghat,in,71.67,64,5.61,100
300,21.445775456374857,12.179742702202589,bilma,ne,96.75,12,5.35,30
301,22.709477933514524,117.5012470680602,haimen,cn,77.0,83,6.71,11
302,22.818200985932755,-113.3883007027564,constitucion,mx,66.99,32,6.93,5
303,22.118713409558413,53.94457644110332,abu dhabi,ae,91.4,55,4.7,0
304,21.07332756725217,-158.75252652468566,makaha,us,77.0,94,4.9,1
305,23.854880217225688,-96.70894371457027,nuevo progreso,mx,84.0,49,5.99,0
306,23.754946654233592,74.39329954034073,banswara,in,80.02,53,4.65,42
307,20.99379798121817,-46.29640437038623,bathsheba,bb,87.8,66,16.11,20
308,20.29305489628835,78.72786377627307,rajur,in,77.7,76,6.87,97
309,25.93995665012018,-115.62071113478783,guerrero negro,mx,85.96,37,3.89,0
310,28.647176081281827,-162.83176788105933,kapaa,us,73.4,88,9.17,1
311,26.518629979370843,150.40504838902018,katsuura,jp,69.8,88,5.82,20
312,25.03361570908297,-71.12538901308092,cockburn town,bs,84.29,77,14.65,100
313,25.59642755089252,160.31579497329454,hasaki,jp,62.6,88,5.82,20
314,25.036968880729443,-1.3554663183509774,adrar,dz,104.68,7,10.74,0
315,27.496911496423493,80.72165342572947,khairabad,in,80.94,62,2.48,0
316,26.209294819628195,151.0002105350107,hasaki,jp,62.6,88,5.82,20
317,29.40906387743788,-171.630306714773,kapaa,us,73.4,88,9.17,1
318,28.85284516384885,89.00429568108154,gasa,bt,59.0,64,3.18,97
319,28.77921038044203,-152.67263947450562,kahului,us,80.6,74,4.7,1
320,29.432611598119436,-19.845717929555803,los llanos de aridane,es,75.2,69,20.8,40
321,26.198294048388448,-179.59386796790568,kapaa,us,73.4,88,9.17,1
322,29.797302215822427,93.9174588258636,along,in,72.57,87,1.61,30
323,29.91589275504008,-137.9198023975089,half moon bay,us,77.0,73,3.47,5
324,27.393869842245433,-135.23760521464283,pacific grove,us,73.99,43,8.05,1
325,34.77143863843425,105.16138041149355,beidao,cn,52.59,73,1.03,100
326,33.33580073838843,141.046155809837,katsuura,jp,69.8,88,5.82,20
327,32.40889270919041,-161.95678138349925,kapaa,us,73.4,88,9.17,1
328,33.96470312108201,17.71971113154393,surt,ly,90.18,32,13.67,35
329,31.980390863082892,48.02137980803175,shush,ir,87.26,18,8.63,0
330,34.453367994868486,-114.11362500760964,lake havasu city,us,84.2,8,3.83,1
331,34.28780744283497,-79.42819952596352,florence,us,75.0,43,12.75,1
332,32.95018096917667,152.74700904144606,hasaki,jp,62.6,88,5.82,20
333,33.82099169450217,-81.40519859556808,lexington,us,60.01,54,6.93,75
334,34.63971689367308,-102.868833363874,clovis,us,77.0,38,4.7,90
335,30.21905285322444,-82.36795285391952,lake city,us,75.99,46,5.82,1
336,30.723125268412836,-78.00150418055955,mount pleasant,us,75.0,60,11.5,20
337,33.16133266171161,32.58785572170436,ypsonas,cy,77.0,65,12.75,0
338,30.74339960680017,-98.98298171482956,fredericksburg,us,66.99,55,9.17,75
339,31.14575144670801,-12.063009354914527,teguise,es,77.0,65,23.04,40
340,33.20362163302186,-81.22556192829512,orangeburg,us,72.0,40,11.41,1
341,32.60246261274436,178.79827520012356,nikolskoye,ru,57.2,62,6.71,4
342,31.445766817779756,-123.57269469959849,lompoc,us,87.8,38,7.11,1
343,32.138280015365915,-132.59947988099836,half moon bay,us,77.0,73,3.47,5
344,38.83977739335104,44.997202214714434,khoy,ir,64.0,51,2.8,30
345,38.003448454458855,-107.99433692018097,montrose,us,66.99,25,3.36,1
346,39.388503237088685,-65.11787577482391,shelburne,ca,55.4,58,10.29,75
347,36.53961099060319,161.64021832896043,severo-kurilsk,ru,46.67,87,11.3,14
348,39.86792389325181,9.815376235020182,tortoli,it,72.0,100,28.86,20
349,38.564203537054595,22.699668874565447,tithorea,gr,73.0,76,1.01,42
350,37.296783019483925,33.32746921876563,karaman,tr,59.72,44,4.0,0
351,37.26485096277018,-21.473415990572335,vila franca do campo,pt,68.0,94,13.87,75
352,37.14029808153558,-141.318385735259,fortuna,us,55.4,100,3.36,20
353,39.022013381280395,2.4475225524803648,calvia,es,63.0,82,18.34,75
354,35.60020998085716,-19.63101695934523,ponta do sol,pt,75.2,69,6.93,20
355,37.61181123323413,-16.827751812763722,camacha,pt,71.6,78,17.22,75
